,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
111,287.0,1.0,2.0,1.0,4098.1,5.75,10.403769999999994,4319.181,1.3125000000000002,0.51,30.5225,0.0
112,288.0,1.0,1.0,1.0,246.36,0.36,6.298739999999998,2798.265,0.16489999999999994,0.07,126.31845969999989,0.0
113,289.0,1.0,1.0,1.0,5496893.375,330.0,9.776179999999997,4139.8395,0.27,0.33,134.846,0.0
114,291.0,1.0,1.0,4.0,18.57,0.1462,5.001979999999999,6196.0,1.26,1.21,62.5388,0.0
115,292.0,1.0,1.0,4.0,6.584,0.0733,4.89245,6196.0,1.26,1.21,62.5388,0.0
116,293.0,1.0,1.0,4.0,2.882,0.0422,5.020000000000001,6196.0,1.26,1.21,62.5388,0.0
117,294.0,1.0,1.0,4.0,5.516,0.0651,4.9582,6196.0,1.26,1.21,62.5388,0.0
118,295.0,1.0,1.0,1.0,5.2072,0.0664,10.415739999999998,6500.0,1.78,1.44,137.94,0.0
119,297.0,1.0,2.0,1.0,6.6732,0.0662,5.063999999999997,5138.0,0.91,0.87,45.23,0.0
120,299.0,1.0,2.0,1.0,10220.0,8.19,11.154380000000003,4726.9219,1.8401999999999992,0.69,305.684,0.0
121,301.0,1.0,2.0,1.0,8.138268,0.07791879999999998,5.7,5428.0,0.96,1.01,44.0622,0.0
122,303.0,1.0,1.0,1.0,6.7987,0.0349,1.047,3648.0,0.28,0.29,168.53523499999991,0.0
123,304.0,1.0,1.0,1.0,28.1656,0.14609560000000002,1.87,3570.8334999999997,0.3902999999999999,0.41,159.259,0.0
124,306.0,1.0,1.0,1.0,0.72091,0.015522300000000003,1.5,5633.0,0.94,0.9406999999999993,706.391,0.0
125,307.0,1.0,1.0,1.0,2.13174,0.030853000000000002,0.692,4770.3613000000005,0.6951999999999999,0.78,253.026,0.0
